Include;../20_Definitions/data_model.csv;Import all model dataclasses
Include;../20_Definitions/csv_parser.csv;Import parser functions
Include;../20_Definitions/svg_renderer.csv;Import renderer functions
Include;../20_Definitions/web_server.csv;Import server classes
Include;../20_Definitions/test_framework.csv;Import test framework
Include;../20_Definitions/utilities.csv;Import utility classes

ClassDiagram;DataModelRelationships;Relationships between model dataclasses
    Model;ClassDef;◇--;1;0.*;contains
    Model;SequenceDef;◇--;1;0.*;contains
    Model;ClassDiagramDef;◇--;1;0.*;contains
    ClassDef;FunctionDef;◆--;1;0.*;owns
    ClassDef;MemberVar;◆--;1;0.*;owns
    ClassDef;StateMachineDef;◆--;1;0.*;owns
    FunctionDef;ParamDef;◆--;1;0.*;owns
    FunctionDef;ReturnDef;◆--;1;0.*;owns
    StateMachineDef;StateDef;◆--;1;1.*;owns
    SequenceDef;SequenceStep;◆--;1;1.*;owns
    SequenceStep;NoteDef;◇--;1;0..1;function_note
    ClassDiagramDef;ClassRelationship;◆--;1;0.*;owns